Metadata
    Sounding ID                                  	e7d4e615-3507-472a-94ea-7526f2b62988
    Release point latitude                       	33.852711°S
    Release point longitude                      	154.727463°E
    Release point height from sea level          	4 m
    Balloon release date and time                	2023-10-13T02:31:57
    Balloon release time                         	02:31:57
    Balloon release date                         	13/10/23
    Surface pressure                             	1014.27 hPa
    Surface temperature                          	17.00 °C
    Surface relative humidity                    	59.70 %
    Surface wind speed                           	24.60 m/s
    Surface wind direction                       	242.00°
    Sonde type                                   	RS41-SG
    Sonde serial number                          	V1030466
    System trademark and model                   	MW41
    Software version                             	MW41 2.4.0
    Sonde software version                       	2.2.15
    Comments                                     	
    STD level heights                            	124, 781, 1478, 3042, 5659, 7296, 9275, 10468, 11914, 13763, 16372, 18629, 20761, 24021, 26639
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.04 %Rh
    T difference (Tu - T)                        	0.25 °C 
    T in-built check air temperature             	21.95 °C
    Tu temperature                               	22.20 °C
    RS41 calculation version                     	1.7
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	GPS
    Station name                                 	VLMJ_YMC
    Reason for termination                       	IncreasingPressure
    Terminating altitude                         	25217 m
    Average ascent rate                          	5.4 m/s
    T difference (Tu - T)                        	0.25 °C 
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.04 %Rh
    Tracked satellite average count              	9.9
    Surface pressure                             	1013.47 hPa
    Surface temperature                          	17.00 °C
    Surface humidity                             	59.70 %Rh
    Surface wind direction                       	242.00°
    Surface wind speed                           	24.60 m/s
    STD level heights                            	124, 781, 1478, 3042, 5659, 7296, 9275, 10468, 11914, 13763, 16372, 18629, 20761, 24021, 26639
    T temperature                                	21.95 °C
    P pressure                                   	/////
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	/////
    Tref temperature                             	/////
    Uref humidity                                	/////
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,      P, Temp,    RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,     Pc,       Lat,       Lon, VirT,PotTemp,          KeyFlags
           s,        m,    hPa,   °C,     %,   °C,    °,  m/s,           m,    m/s,    hPa,         °,         °,   °C,     °C,                  
           0,        4,1014.27, 17.0, 59.70,  9.1,242.0, 24.6,           4,    0.0,1014.27,-33.852711,154.727463, 18.3,   15.8,TUdfv             
           2,       11,1013.37, 17.7, 64.38, 10.9,240.7,  6.8,          11,    4.3,1013.37,-33.850795,154.726303, 19.1,   16.6,   fv       Ti    
           3,       15,1012.83, 18.1, 65.06, 11.5,240.2,  5.3,          15,    3.6,1012.83,-33.850565,154.726214, 19.6,   17.1,   fv       Ti    
           4,       19,1012.55, 18.2, 64.76, 11.5,240.4,  5.7,          18,    3.8,1012.55,-33.850514,154.726268, 19.7,   17.2,T                 
           5,       24,1012.09, 18.0, 64.34, 11.2,240.7,  6.6,          23,    4.9,1012.09,-33.850505,154.726389, 19.5,   17.0,                  
           6,       31,1011.23, 17.8, 63.53, 10.8,240.9,  7.5,          30,    6.9,1011.23,-33.850476,154.726529, 19.3,   16.9,                  
           7,       39,1010.11, 17.7, 62.56, 10.5,241.0,  8.1,          39,    8.3,1010.11,-33.850421,154.726664, 19.1,   16.8,                  
           8,       47,1009.01, 17.5, 61.91, 10.2,241.0,  8.6,          48,    8.4,1009.01,-33.850350,154.726792, 18.9,   16.8,                  
           9,       54,1008.15, 17.4, 61.68, 10.0,241.1,  9.1,          55,    7.0,1008.15,-33.850291,154.726917, 18.8,   16.8,                  
          10,       59,1007.69, 17.3, 61.49,  9.9,241.1,  9.6,          60,    5.2,1007.69,-33.850244,154.727045, 18.7,   16.7,                  
          11,       63,1007.29, 17.2, 61.48,  9.8,241.1, 10.1,          64,    3.9,1007.29,-33.850201,154.727176, 18.6,   16.6,                  
          12,       67,1006.85, 17.2, 61.71,  9.8,241.1, 10.5,          67,    3.2,1006.85,-33.850158,154.727299, 18.5,   16.6,                  
          13,       69,1006.41, 17.1, 61.93,  9.8,241.1, 10.9,          69,    2.8,1006.41,-33.850113,154.727423, 18.4,   16.6,                  
          14,       72,1006.19, 17.1, 62.09,  9.8,241.1, 11.3,          72,    2.7,1006.19,-33.850061,154.727552, 18.4,   16.5,                  
          15,       76,1005.98, 17.0, 62.32,  9.8,241.0, 11.6,          75,    3.4,1005.98,-33.850002,154.727686, 18.4,   16.5,                  
          16,       80,1005.40, 17.0, 62.57,  9.8,241.0, 12.0,          80,    4.7,1005.40,-33.849944,154.727823, 18.3,   16.5,                  
          17,       86,1004.50, 16.9, 62.68,  9.8,240.9, 12.3,          86,    5.5,1004.50,-33.849889,154.727962, 18.3,   16.6,                  
          18,       90,1003.70, 16.9, 62.86,  9.8,240.9, 12.5,          91,    4.8,1003.70,-33.849826,154.728091, 18.2,   16.6,                  
          20,       97,1003.49, 16.8, 63.23,  9.8,240.7, 13.0,          96,    3.1,1003.49,-33.849672,154.728344, 18.1,   16.5,                  
          21,      100,1002.78, 16.8, 63.47,  9.8,240.6, 13.1,         100,    3.2,1002.78,-33.849609,154.728476, 18.1,   16.5,                  
          22,      103,1002.54, 16.7, 63.79,  9.8,240.5, 13.3,         103,    3.3,1002.54,-33.849554,154.728605, 18.0,   16.5,                  
          23,      107,1002.27, 16.6, 64.23,  9.9,240.4, 13.4,         107,    4.0,1002.27,-33.849502,154.728731, 18.0,   16.5,                  
          24,      112,1001.48, 16.6, 64.65,  9.9,240.3, 13.5,         112,    5.1,1001.48,-33.849443,154.728850, 17.9,   16.5,                  
          25,      118,1000.81, 16.5, 64.79,  9.9,240.2, 13.6,         118,    5.7,1000.81,-33.849370,154.728964, 17.9,   16.5,                  
          26,      123,1000.07, 16.5, 64.81,  9.9,240.1, 13.6,         124,    5.6,1000.07,-33.849289,154.729088, 17.8,   16.5,                  
          27,      129, 999.53, 16.5, 64.68,  9.8,240.0, 13.7,         129,    5.2, 999.53,-33.849220,154.729224, 17.8,   16.5,                  
          28,      133, 999.09, 16.4, 64.53,  9.7,239.9, 13.7,         133,    4.8, 999.09,-33.849169,154.729363, 17.8,   16.5,   fv             
          29,      138, 998.39, 16.4, 64.55,  9.7,239.8, 13.7,         138,    4.8, 998.39,-33.849117,154.729502, 17.7,   16.5,                  
          30,      143, 997.79, 16.3, 64.68,  9.7,239.8, 13.7,         143,    4.7, 997.79,-33.849049,154.729639, 17.7,   16.5,                  
          31,      147, 997.41, 16.3, 65.01,  9.7,239.7, 13.7,         147,    4.5, 997.41,-33.848976,154.729775, 17.7,   16.5,                  
          32,      152, 996.80, 16.3, 65.51,  9.8,239.7, 13.7,         152,    4.8, 996.80,-33.848912,154.729913, 17.6,   16.6,                  
          33,      158, 996.15, 16.2, 65.78,  9.9,239.6, 13.7,         157,    5.3, 996.15,-33.848853,154.730038, 17.6,   16.6,                  
          34,      163, 995.54, 16.2, 66.07,  9.9,239.6, 13.7,         163,    5.7, 995.54,-33.848792,154.730143, 17.5,   16.6,                  
          35,      169, 994.83, 16.1, 66.35,  9.9,239.6, 13.7,         169,    6.1, 994.83,-33.848728,154.730246, 17.5,   16.6,                  
          36,      175, 994.02, 16.1, 66.60,  9.9,239.6, 13.7,         176,    6.1, 994.02,-33.848662,154.730365, 17.4,   16.6,                  
          37,      181, 993.39, 16.0, 66.70,  9.9,239.6, 13.6,         181,    5.5, 993.39,-33.848595,154.730498, 17.4,   16.6,                  
          38,      186, 992.84, 16.0, 66.65,  9.8,239.6, 13.6,         186,    4.7, 992.84,-33.848522,154.730625, 17.3,   16.6,                  
          39,      190, 992.39, 15.9, 66.70,  9.8,239.7, 13.6,         190,    4.1, 992.39,-33.848446,154.730741, 17.3,   16.6,                  
          40,      194, 992.00, 15.9, 66.59,  9.7,239.7, 13.6,         194,    4.1, 992.00,-33.848376,154.730853, 17.2,   16.5,                  
          41,      198, 991.42, 15.8, 66.41,  9.6,239.7, 13.6,         198,    4.6, 991.42,-33.848312,154.730971, 17.1,   16.5,                  
          42,      204, 990.78, 15.7, 66.50,  9.5,239.8, 13.5,         203,    5.1, 990.78,-33.848255,154.731093, 17.0,   16.5,                  
          43,      209, 990.11, 15.7, 66.63,  9.5,239.8, 13.5,         209,    5.4, 990.11,-33.848203,154.731213, 17.0,   16.5,                  
          44,      214, 989.53, 15.7, 66.94,  9.6,239.9, 13.5,         214,    5.4, 989.53,-33.848152,154.731336, 17.0,   16.5,                  
          45,      220, 988.95, 15.6, 67.39,  9.6,239.9, 13.5,         220,    5.4, 988.95,-33.848100,154.731462, 16.9,   16.5,                  
          46,      225, 988.29, 15.6, 67.58,  9.6,239.9, 13.5,         226,    5.5, 988.29,-33.848042,154.731592, 16.9,   16.5,          Pi      
          47,      231, 987.65, 15.5, 67.81,  9.6,239.9, 13.5,         232,    5.3, 987.65,-33.847982,154.731715, 16.8,   16.5,          Pi      
          48,      236, 987.00, 15.5, 68.05,  9.6,239.9, 13.5,         237,    4.8, 987.00,-33.847915,154.731839, 16.8,   16.6,          Pi      
          49,      240, 986.36, 15.4, 68.26,  9.6,239.9, 13.4,         240,    4.0, 986.36,-33.847842,154.731968, 16.8,   16.6,                  
          50,      243, 986.29, 15.4, 68.42,  9.6,239.9, 13.4,         243,    3.2, 986.29,-33.847762,154.732099, 16.7,   16.5,                  
          51,      246, 986.01, 15.3, 68.52,  9.6,239.9, 13.4,         246,    3.6, 986.01,-33.847683,154.732223, 16.7,   16.5,                  
          52,      251, 985.19, 15.3, 68.67,  9.6,239.8, 13.4,         251,    4.8, 985.19,-33.847614,154.732336, 16.6,   16.5,                  
          53,      257, 984.52, 15.2, 68.84,  9.6,239.7, 13.4,         257,    5.4, 984.52,-33.847560,154.732440, 16.6,   16.5,                  
          54,      262, 984.01, 15.2, 69.02,  9.6,239.7, 13.4,         262,    5.6, 984.01,-33.847519,154.732552, 16.5,   16.5,                  
          55,      268, 983.30, 15.1, 69.29,  9.6,239.6, 13.4,         268,    5.9, 983.30,-33.847473,154.732681, 16.5,   16.5,                  
          56,      274, 982.56, 15.1, 69.37,  9.5,239.5, 13.4,         274,    6.0, 982.56,-33.847417,154.732817, 16.4,   16.5,                  
          57,      280, 981.86, 15.0, 69.35,  9.5,239.3, 13.4,         280,    5.6, 981.86,-33.847356,154.732951, 16.3,   16.5,                  
          58,      285, 981.33, 15.0, 69.51,  9.5,239.2, 13.4,         285,    5.1, 981.33,-33.847293,154.733078, 16.3,   16.5,                  
          59,      290, 980.81, 14.9, 69.75,  9.5,239.1, 13.4,         290,    4.7, 980.81,-33.847227,154.733197, 16.2,   16.5,                  
          60,      294, 980.28, 14.9, 69.87,  9.4,238.9, 13.4,         294,    4.5, 980.28,-33.847160,154.733309, 16.2,   16.5,                  
          61,      298, 979.74, 14.8, 70.05,  9.4,238.8, 13.4,         298,    4.5, 979.74,-33.847094,154.733421, 16.1,   16.5,                  
          62,      303, 979.26, 14.8, 70.25,  9.4,238.6, 13.4,         303,    4.6, 979.26,-33.847028,154.733537, 16.1,   16.5,                  
          63,      308, 978.66, 14.7, 70.56,  9.4,238.5, 13.4,         308,    4.9, 978.66,-33.846959,154.733659, 16.0,   16.5,                  
          64,      313, 978.08, 14.7, 71.04,  9.5,238.4, 13.4,         313,    5.0, 978.08,-33.846889,154.733784, 16.0,   16.5,          Pi      
          65,      318, 977.49, 14.6, 71.39,  9.5,238.3, 13.4,         318,    5.1, 977.49,-33.846820,154.733915, 16.0,   16.5,                  
          66,      323, 976.88, 14.6, 71.51,  9.5,238.2, 13.4,         323,    5.1, 976.88,-33.846761,154.734046, 15.9,   16.5,                  
          67,      328, 976.28, 14.5, 71.58,  9.5,238.0, 13.4,         328,    5.0, 976.28,-33.846705,154.734173, 15.9,   16.5,                  
          68,      333, 975.74, 14.5, 71.64,  9.4,237.9, 13.4,         333,    4.6, 975.74,-33.846644,154.734293, 15.8,   16.5,                  
          69,      337, 975.20, 14.4, 71.89,  9.4,237.8, 13.5,         337,    4.5, 975.20,-33.846565,154.734394, 15.8,   16.5,                  
          70,      343, 974.54, 14.4, 72.18,  9.5,237.7, 13.5,         343,    5.7, 974.54,-33.846490,154.734497, 15.7,   16.5,                  
          71,      351, 973.92, 14.3, 72.23,  9.4,237.6, 13.5,         350,    8.0, 973.92,-33.846424,154.734616, 15.7,   16.5,                  
          72,      362, 973.10, 14.3, 72.06,  9.3,237.5, 13.5,         361,   11.2, 973.10,-33.846382,154.734771, 15.6,   16.5,                  
          73,      376, 970.87, 14.3, 72.02,  9.3,237.4, 13.5,         377,   13.2, 970.87,-33.846368,154.734959, 15.6,   16.7,                  
          74,      385, 968.27, 14.2, 72.16,  9.3,237.4, 13.6,         389,    9.5, 968.27,-33.846340,154.735136, 15.5,   16.9,                  
          81,      400, 968.09, 13.9, 72.87,  9.1,237.5, 13.7,         400,    2.1, 968.09,-33.845748,154.735875, 15.2,   16.6,                  
          82,      404, 967.63, 13.9, 73.06,  9.1,237.6, 13.8,         404,    4.7, 967.63,-33.845686,154.735998, 15.2,   16.6,                  
          83,      409, 967.03, 13.8, 73.54,  9.2,237.7, 13.8,         409,    5.1, 967.03,-33.845618,154.736123, 15.1,   16.6,                  
          84,      415, 966.35, 13.8, 74.08,  9.2,237.8, 13.8,         415,    5.3, 966.35,-33.845546,154.736245, 15.1,   16.6,                  
          85,      420, 965.72, 13.7, 74.11,  9.2,237.9, 13.8,         420,    5.2, 965.72,-33.845473,154.736364, 15.0,   16.6,                  
          86,      425, 965.21, 13.6, 74.27,  9.2,238.0, 13.9,         425,    4.8, 965.21,-33.845404,154.736481, 15.0,   16.6,                  
          87,      429, 964.76, 13.6, 74.78,  9.2,238.1, 13.9,         429,    4.7, 964.76,-33.845337,154.736602, 14.9,   16.5,                  
          88,      434, 964.15, 13.5, 75.07,  9.2,238.2, 13.9,         434,    4.8, 964.15,-33.845266,154.736727, 14.8,   16.5,                  
          89,      439, 963.56, 13.5, 75.04,  9.2,238.2, 13.9,         439,    4.9, 963.56,-33.845195,154.736854, 14.8,   16.6,                  
          90,      444, 963.00, 13.5, 75.00,  9.1,238.3, 13.9,         444,    4.9, 963.00,-33.845128,154.736981, 14.8,   16.6,                  
          91,      449, 962.44, 13.4, 75.15,  9.1,238.4, 13.9,         449,    4.9, 962.44,-33.845065,154.737112, 14.7,   16.6,                  
          92,      454, 961.93, 13.4, 75.43,  9.1,238.5, 13.9,         454,    5.1, 961.93,-33.845004,154.737247, 14.7,   16.6,                  
          93,      460, 961.25, 13.3, 75.67,  9.1,238.5, 13.9,         460,    5.5, 961.25,-33.844941,154.737384, 14.6,   16.6,                  
          94,      465, 960.54, 13.3, 75.90,  9.1,238.6, 13.9,         465,    5.8, 960.54,-33.844874,154.737520, 14.6,   16.6,                  
          95,      471, 959.94, 13.2, 76.28,  9.1,238.6, 13.9,         471,    5.9, 959.94,-33.844809,154.737656, 14.5,   16.6,                  
          96,      477, 959.22, 13.1, 76.72,  9.2,238.7, 13.9,         477,    5.9, 959.22,-33.844745,154.737795, 14.5,   16.6,                  
          97,      483, 958.54, 13.1, 76.81,  9.1,238.7, 13.9,         483,    5.8, 958.54,-33.844682,154.737940, 14.4,   16.6,                  
          98,      489, 957.97, 13.0, 77.10,  9.1,238.7, 13.9,         489,    5.7, 957.97,-33.844617,154.738086, 14.4,   16.6,                  
          99,      494, 957.32, 13.0, 77.82,  9.2,238.7, 13.9,         494,    5.8, 957.32,-33.844553,154.738229, 14.3,   16.6,                  
         100,      500, 956.58, 12.9, 78.12,  9.2,238.7, 13.8,         500,    5.9, 956.58,-33.844493,154.738366, 14.3,   16.6,                  
         101,      506, 955.92, 12.9, 77.75,  9.1,238.6, 13.8,         506,    5.9, 955.92,-33.844433,154.738502, 14.2,   16.6,                  
         102,      512, 955.29, 12.8, 77.62,  9.0,238.6, 13.8,         512,    5.9, 955.29,-33.844371,154.738635, 14.1,   16.6,                  
         103,      518, 954.63, 12.7, 77.88,  9.0,238.6, 13.8,         518,    6.0, 954.63,-33.844305,154.738762, 14.0,   16.6,                  
         104,      524, 953.90, 12.7, 78.27,  9.0,238.5, 13.7,         524,    6.1, 953.90,-33.844240,154.738884, 14.0,   16.6,                  
         105,      530, 953.17, 12.6, 78.73,  9.0,238.5, 13.7,         530,    6.2, 953.17,-33.844177,154.739003, 13.9,   16.6,                  
         106,      536, 952.50, 12.5, 79.07,  9.0,238.4, 13.7,         536,    6.2, 952.50,-33.844115,154.739121, 13.8,   16.6,                  
         107,      543, 951.83, 12.5, 79.50,  9.0,238.4, 13.7,         543,    6.2, 951.83,-33.844051,154.739236, 13.8,   16.5,                  
         108,      549, 951.08, 12.4, 79.99,  9.1,238.3, 13.7,         549,    6.3, 951.08,-33.843986,154.739347, 13.7,   16.5,                  
         109,      555, 950.34, 12.3, 80.29,  9.0,238.3, 13.6,         555,    6.4, 950.34,-33.843921,154.739458, 13.7,   16.5,                  
         110,      562, 949.62, 12.3, 80.59,  9.0,238.2, 13.6,         562,    6.5, 949.62,-33.843856,154.739572, 13.6,   16.5,                  
         111,      569, 948.91, 12.2, 80.95,  9.1,238.2, 13.6,         568,    6.6, 948.91,-33.843791,154.739690, 13.5,   16.5,                  
         112,      575, 948.11, 12.1, 81.37,  9.1,238.2, 13.6,         575,    6.9, 948.11,-33.843727,154.739811, 13.5,   16.5,                  
         113,      582, 947.30, 12.1, 81.78,  9.1,238.1, 13.6,         582,    7.0, 947.30,-33.843663,154.739931, 13.4,   16.5,                  
         114,      589, 946.51, 12.0, 81.96,  9.0,238.1, 13.6,         589,    6.9, 946.51,-33.843601,154.740052, 13.3,   16.5,                  
         115,      596, 945.75, 11.9, 82.22,  9.0,238.1, 13.6,         596,    6.4, 945.75,-33.843538,154.740176, 13.3,   16.5,                  
         116,      602, 945.13, 11.9, 82.46,  9.0,238.1, 13.6,         602,    5.9, 945.13,-33.843472,154.740302, 13.2,   16.5,                  
         117,      607, 944.53, 11.8, 82.73,  9.0,238.2, 13.6,         607,    5.7, 944.53,-33.843402,154.740427, 13.1,   16.5,                  
         118,      613, 943.88, 11.8, 83.01,  9.0,238.2, 13.6,         613,    5.8, 943.88,-33.843332,154.740549, 13.1,   16.5,                  
         119,      619, 943.18, 11.7, 83.31,  9.0,238.2, 13.7,         619,    6.0, 943.18,-33.843262,154.740669, 13.0,   16.5,                  
         120,      625, 942.46, 11.6, 83.63,  9.0,238.2, 13.7,         625,    6.2, 942.46,-33.843195,154.740790, 13.0,   16.5,                  
         121,      631, 941.79, 11.6, 83.99,  9.0,238.3, 13.7,         631,    6.2, 941.79,-33.843127,154.740914, 12.9,   16.5,                  
         122,      638, 941.11, 11.5, 84.51,  9.0,238.3, 13.7,         637,    6.2, 941.11,-33.843060,154.741040, 12.9,   16.5,                  
         123,      644, 940.39, 11.5, 85.22,  9.1,238.3, 13.7,         644,    6.2, 940.39,-33.842995,154.741168, 12.8,   16.5,                  
         124,      650, 939.70, 11.4, 85.77,  9.1,238.4, 13.8,         650,    6.1, 939.70,-33.842932,154.741298, 12.7,   16.5,                  
         125,      656, 939.05, 11.3, 85.82,  9.1,238.4, 13.8,         656,    6.1, 939.05,-33.842870,154.741430, 12.7,   16.5,                  
         126,      662, 938.37, 11.3, 85.89,  9.0,238.4, 13.8,         662,    6.2, 938.37,-33.842809,154.741561, 12.6,   16.5,                  
         127,      668, 937.62, 11.2, 86.17,  9.0,238.4, 13.8,         668,    6.4, 937.62,-33.842748,154.741689, 12.5,   16.5,                  
         128,      675, 936.86, 11.2, 86.41,  9.0,238.5, 13.9,         675,    6.6, 936.86,-33.842689,154.741817, 12.5,   16.5,                  
         129,      682, 936.14, 11.1, 86.31,  8.9,238.5, 13.9,         682,    6.7, 936.14,-33.842629,154.741949, 12.4,   16.5,                  
         130,      689, 935.38, 11.0, 85.94,  8.8,238.5, 13.9,         689,    7.0, 935.38,-33.842566,154.742083, 12.3,   16.5,                  
         131,      696, 934.56, 11.0, 85.72,  8.7,238.5, 13.9,         696,    7.3, 934.56,-33.842503,154.742219, 12.3,   16.5,                  
         132,      704, 933.68, 10.9, 85.84,  8.6,238.5, 14.0,         704,    7.7, 933.68,-33.842441,154.742354, 12.2,   16.6,                  
         133,      711, 932.80, 10.8, 86.25,  8.6,238.4, 14.0,         711,    7.8, 932.80,-33.842380,154.742488, 12.1,   16.6,                  
         134,      719, 931.93, 10.8, 86.85,  8.7,238.4, 14.0,         719,    7.6, 931.93,-33.842318,154.742622, 12.1,   16.6,                  
         135,      726, 931.13, 10.7, 87.41,  8.7,238.4, 14.0,         727,    7.4, 931.13,-33.842254,154.742754, 12.0,   16.6,                  
         136,      734, 930.35, 10.6, 87.85,  8.7,238.4, 14.0,         734,    7.2, 930.35,-33.842189,154.742883, 11.9,   16.6,                  
         137,      741, 929.57, 10.5, 88.13,  8.7,238.4, 14.0,         741,    7.0, 929.57,-33.842122,154.743012, 11.9,   16.6,                  
         138,      748, 928.78, 10.5, 88.35,  8.6,238.4, 14.0,         748,    6.9, 928.78,-33.842054,154.743142, 11.8,   16.6,                  
         139,      754, 927.99, 10.4, 88.57,  8.6,238.4, 14.0,         754,    6.8, 927.99,-33.841982,154.743274, 11.7,   16.6,                  
         140,      761, 927.27, 10.3, 88.81,  8.6,238.5, 14.1,         761,    6.7, 927.27,-33.841906,154.743405, 11.7,   16.6,                  
         141,      768, 926.57, 10.3, 89.13,  8.6,238.5, 14.1,         768,    6.7, 926.57,-33.841828,154.743531, 11.6,   16.6,                  
         142,      775, 925.77, 10.2, 89.53,  8.6,238.5, 14.1,         775,    7.0, 925.77,-33.841752,154.743653, 11.5,   16.6,                  
         143,      782, 924.95, 10.1, 89.99,  8.6,238.6, 14.1,         782,    7.2, 924.95,-33.841680,154.743774, 11.5,   16.6,                  
         144,      789, 924.15, 10.1, 90.41,  8.6,238.7, 14.0,         789,    7.2, 924.15,-33.841610,154.743895, 11.4,   16.6,                  
         145,      796, 923.35, 10.0, 90.80,  8.6,238.8, 14.0,         796,    7.2, 923.35,-33.841541,154.744015, 11.3,   16.6,                  
         146,      804, 922.56,  9.9, 91.17,  8.6,238.9, 14.0,         804,    7.2, 922.56,-33.841473,154.744135, 11.3,   16.6,                  
         147,      811, 921.77,  9.9, 91.47,  8.6,239.0, 14.0,         811,    7.2, 921.77,-33.841407,154.744255, 11.2,   16.6,                  
         148,      818, 920.97,  9.8, 91.65,  8.5,239.1, 14.0,         818,    7.2, 920.97,-33.841344,154.744379, 11.1,   16.6,                  
         149,      825, 920.18,  9.7, 91.93,  8.5,239.2, 14.0,         825,    7.1, 920.18,-33.841281,154.744509, 11.1,   16.6,                  
         150,      832, 919.40,  9.7, 92.44,  8.5,239.4, 14.0,         832,    7.0, 919.40,-33.841216,154.744644, 11.0,   16.6,                  
         151,      839, 918.62,  9.6, 92.98,  8.5,239.5, 14.0,         839,    7.0, 918.62,-33.841150,154.744781, 10.9,   16.6,                  
         152,      846, 917.88,  9.5, 93.24,  8.5,239.7, 13.9,         846,    6.9, 917.88,-33.841085,154.744919, 10.9,   16.6,                  
         153,      853, 917.10,  9.5, 93.45,  8.5,239.9, 13.9,         853,    7.0, 917.10,-33.841020,154.745058, 10.8,   16.6,                  
         154,      860, 916.32,  9.4, 93.70,  8.4,240.0, 13.9,         860,    7.1, 916.32,-33.840955,154.745197, 10.7,   16.6,                  
         155,      867, 915.51,  9.3, 93.98,  8.4,240.2, 13.9,         867,    7.2, 915.51,-33.840891,154.745335, 10.6,   16.6,                  
         156,      875, 914.71,  9.3, 94.15,  8.4,240.3, 13.8,         875,    7.3, 914.71,-33.840829,154.745469, 10.6,   16.6,                  
         157,      882, 913.92,  9.2, 94.23,  8.3,240.5, 13.8,         882,    7.2, 913.92,-33.840769,154.745602, 10.5,   16.6,                  
         158,      889, 913.12,  9.1, 94.56,  8.3,240.6, 13.8,         889,    7.2, 913.12,-33.840710,154.745734, 10.4,   16.6,                  
         159,      896, 912.35,  9.1, 95.09,  8.3,240.8, 13.8,         896,    7.1, 912.35,-33.840651,154.745867, 10.4,   16.6,                  
         160,      903, 911.58,  9.0, 95.42,  8.3,240.9, 13.7,         903,    7.1, 911.58,-33.840594,154.745999, 10.3,   16.6,                  
         161,      910, 910.79,  8.9, 95.62,  8.3,241.0, 13.7,         910,    7.2, 910.79,-33.840539,154.746130, 10.2,   16.6,                  
         162,      918, 909.98,  8.9, 95.83,  8.2,241.1, 13.7,         918,    7.3, 909.98,-33.840488,154.746261, 10.2,   16.6,                  
         163,      925, 909.15,  8.8, 96.18,  8.2,241.1, 13.7,         925,    7.3, 909.15,-33.840436,154.746394, 10.1,   16.6,                  
         164,      932, 908.39,  8.7, 96.54,  8.2,241.2, 13.7,         932,    7.2, 908.39,-33.840382,154.746527, 10.0,   16.6,                  
         165,      939, 907.63,  8.7, 96.84,  8.2,241.3, 13.7,         939,    7.1, 907.63,-33.840325,154.746659, 10.0,   16.6,                  
         166,      946, 906.82,  8.6, 97.22,  8.2,241.3, 13.7,         946,    7.1, 906.82,-33.840268,154.746788,  9.9,   16.6,                  
         167,      953, 906.04,  8.5, 97.56,  8.2,241.3, 13.7,         953,    6.9, 906.04,-33.840213,154.746914,  9.8,   16.6,                  
         168,      960, 905.34,  8.5, 97.76,  8.1,241.3, 13.7,         960,    6.6, 905.34,-33.840159,154.747039,  9.8,   16.6,                  
         169,      966, 904.65,  8.4, 97.89,  8.1,241.4, 13.7,         966,    6.5, 904.65,-33.840103,154.747164,  9.7,   16.6,                  
         170,      973, 903.93,  8.4, 97.97,  8.1,241.4, 13.7,         973,    6.5, 903.93,-33.840044,154.747287,  9.6,   16.6,                  
         171,      980, 903.19,  8.3, 98.29,  8.0,241.4, 13.8,         980,    6.6, 903.19,-33.839984,154.747407,  9.6,   16.6,                  
         172,      986, 902.46,  8.2, 98.70,  8.0,241.3, 13.8,         986,    6.7, 902.46,-33.839927,154.747526,  9.5,   16.6,                  
         173,      993, 901.74,  8.2, 99.15,  8.0,241.3, 13.9,         993,    6.8, 901.74,-33.839872,154.747643,  9.5,   16.6,                  
         174,     1000, 900.98,  8.1, 99.63,  8.1,241.3, 13.9,        1000,    6.8, 900.98,-33.839818,154.747760,  9.4,   16.7,                  
         175,     1007, 900.22,  8.1,100.00,  8.1,241.3, 14.0,        1007,    6.8, 900.22,-33.839762,154.747875,  9.4,   16.7,                  
         176,     1013, 899.52,  8.0,100.00,  8.0,241.3, 14.0,        1013,    6.6, 899.52,-33.839706,154.747989,  9.3,   16.7,                  
         177,     1020, 898.83,  8.0,100.00,  8.0,241.3, 14.1,        1020,    6.4, 898.83,-33.839647,154.748109,  9.3,   16.7,                  
         178,     1026, 898.16,  8.0,100.00,  8.0,241.3, 14.2,        1026,    6.4, 898.16,-33.839587,154.748237,  9.2,   16.8,                  
         179,     1033, 897.47,  7.9,100.00,  7.9,241.3, 14.2,        1032,    6.4, 897.47,-33.839526,154.748373,  9.1,   16.7,                  
         180,     1039, 896.73,  7.8,100.00,  7.8,241.4, 14.3,        1039,    6.4, 896.73,-33.839461,154.748514,  9.0,   16.7,                  
         181,     1045, 896.02,  7.7,100.00,  7.7,241.4, 14.4,        1045,    6.2, 896.02,-33.839392,154.748657,  9.0,   16.7,                  
         182,     1051, 895.44,  7.7,100.00,  7.7,241.4, 14.4,        1051,    5.8, 895.44,-33.839322,154.748804,  8.9,   16.7,                  
         183,     1056, 894.86,  7.7,100.00,  7.7,241.5, 14.5,        1056,    5.5, 894.86,-33.839252,154.748953,  8.9,   16.8,                  
         184,     1062, 894.27,  7.7,100.00,  7.7,241.5, 14.5,        1062,    5.5, 894.27,-33.839183,154.749101,  8.9,   16.8,                  
